time,pump_1_pressure,pump_2_pressure,pump_3_pressure,pump_4_pressure,pump_1_frequency,pump_2_frequency,pump_3_frequency,pump_4_frequency,sum_pressure,target_pressure,flow
2025/3/14 15:56,0.378,0.377,0.016,0.013,43.38,44.22,0.01,0.01,0.351,0.35,2658.56
2025/3/14 15:56,0.377,0.378,0.016,0.013,43.43,44.23,0.01,0.01,0.349,0.35,2670.14
2025/3/14 15:56,0.377,0.379,0.016,0.013,43.32,44.22,0.01,0.01,0.35,0.35,2684.61
2025/3/14 15:56,0.377,0.377,0.016,0.013,43.43,44.23,0.01,0.01,0.351,0.35,2694.44
2025/3/14 15:56,0.376,0.375,0.016,0.013,43.5,44.18,0.01,0.01,0.348,0.35,2693.87
2025/3/14 15:56,0.379,0.379,0.016,0.013,43.27,44.19,0.01,0.01,0.35,0.35,2695.02
2025/3/14 15:56,0.379,0.376,0.016,0.013,43.42,44.19,0.01,0.01,0.351,0.35,2685.76
2025/3/14 15:56,0.377,0.377,0.016,0.013,43.37,44.18,0.01,0.01,0.349,0.35,2635.42
2025/3/14 15:56,0.378,0.38,0.016,0.013,43.33,44.21,0.01,0.01,0.35,0.35,2623.84
2025/3/14 15:56,0.377,0.378,0.016,0.013,43.39,44.2,0.01,0.01,0.35,0.35,2623.26
2025/3/14 15:56,0.378,0.378,0.016,0.013,43.36,44.21,0.01,0.01,0.35,0.35,2620.95
2025/3/14 15:56,0.378,0.378,0.016,0.013,43.41,44.23,0.01,0.01,0.35,0.35,2616.9
2025/3/14 15:56,0.378,0.378,0.016,0.013,43.42,44.23,0.01,0.01,0.35,0.35,2619.79
2025/3/14 15:56,0.379,0.379,0.016,0.013,43.35,44.22,0.01,0.01,0.35,0.35,2627.31
2025/3/14 15:56,0.378,0.379,0.016,0.013,43.5,44.21,0.01,0.01,0.349,0.35,2630.79
2025/3/14 15:56,0.376,0.378,0.016,0.013,43.44,44.18,0.01,0.01,0.349,0.35,2622.11
2025/3/14 15:56,0.378,0.378,0.016,0.013,43.38,44.18,0.01,0.01,0.351,0.35,2623.26
2025/3/14 15:56,0.378,0.377,0.016,0.013,43.39,44.19,0.01,0.01,0.35,0.35,2622.69
2025/3/14 15:56,0.377,0.379,0.016,0.013,43.37,44.18,0.01,0.01,0.349,0.35,2626.74
2025/3/14 15:56,0.378,0.379,0.016,0.013,43.33,44.18,0.01,0.01,0.35,0.35,2627.89
2025/3/14 15:56,0.377,0.377,0.016,0.013,43.38,44.19,0.01,0.01,0.35,0.35,2628.47
2025/3/14 15:56,0.379,0.377,0.016,0.013,43.34,44.19,0.01,0.01,0.35,0.35,2625
2025/3/14 15:56,0.379,0.378,0.016,0.013,43.37,44.18,0.01,0.01,0.35,0.35,2626.74
2025/3/14 15:56,0.378,0.378,0.016,0.013,43.33,44.2,0.01,0.01,0.351,0.35,2622.69
2025/3/14 15:56,0.379,0.378,0.016,0.013,43.38,44.18,0.01,0.01,0.351,0.35,2626.74
2025/3/14 15:56,0.378,0.378,0.016,0.013,43.46,44.18,0.01,0.01,0.35,0.35,2633.1
2025/3/14 15:56,0.377,0.377,0.016,0.013,43.35,44.17,0.01,0.01,0.35,0.35,2631.37
2025/3/14 15:56,0.38,0.378,0.016,0.013,43.4,44.17,0.01,0.01,0.351,0.35,2631.94
2025/3/14 15:56,0.377,0.377,0.016,0.013,43.44,44.17,0.01,0.01,0.35,0.35,2635.42
2025/3/14 15:56,0.378,0.379,0.016,0.013,43.41,44.17,0.01,0.01,0.35,0.35,2657.99
2025/3/14 15:56,0.377,0.379,0.016,0.013,43.33,44.16,0.01,0.01,0.35,0.35,2660.3
2025/3/14 15:56,0.378,0.378,0.016,0.013,43.42,44.18,0.01,0.01,0.35,0.35,2654.51
2025/3/14 15:56,0.377,0.378,0.016,0.013,43.33,44.17,0.01,0.01,0.349,0.35,2652.78
2025/3/14 15:56,0.379,0.379,0.016,0.013,43.38,44.17,0.01,0.01,0.35,0.35,2648.73
2025/3/14 15:56,0.376,0.377,0.016,0.013,43.42,44.18,0.01,0.01,0.349,0.35,2651.62
